species,n_date,n_loc
Abax parallelepipedus,707,241
Abia fasciata,422,368
Abies alba,349,181
Abies grandis,1155,385
Abortiporus biennis,970,652
Abra alba,1025,106
Abramis brama,4253,1567
Abraxas grossulariata,1043,748
Abraxas sylvata,1051,659
Abrostola tripartita,529,190
Abrostola triplasia,1812,1236
Abutilon theophrasti,544,343
Acalitus brevitarsus,847,598
Acalymma vittatum,438,263
Acanthis flammea,3061,1334
Acanthocardia echinata,766,95
Acanthocardia tuberculata,1093,130
Acantholyda hieroglyphica,830,305
Acanthosoma haemorrhoidale,2492,1456
Acarospora fuscata,551,260
Acarospora privigna,435,262
Acasis viretata,1135,779
Accipiter gentilis,1154,612
Accipiter nisus,5838,2057
Acentria ephemerella,1335,1076
Acer campestre,3922,1774
Acer negundo,1257,301
Acer platanoides,2977,1227
Acer pseudoplatanus,4472,1888
Acer saccharinum,673,334
Aceria brevipunctata,889,438
Aceria cephaloneus,508,365
Aceria erinea,1131,772
Aceria exigua,381,190
Aceria fraxinivora,1071,542
Aceria genistae,986,411
Aceria macrochelus,835,499
Aceria macrorhynchus,821,620
Aceria megacerus,361,96
Aceria myriadeum,478,280
Aceria pseudoplatani,435,280
Achaius oratorius,663,676
Acherontia atropos,471,467
Acheta domesticus,755,453
Achillea filipendulina,458,223
Achillea millefolium,5330,2077
Achillea ptarmica,2635,1383
Achlya flavicornis,602,505
Achroia grisella,340,276
Acilius canaliculatus,407,238
Acilius sulcatus,400,268
Acleris bergmanniana,367,290
Acleris cristana,541,330
Acleris emargana,439,261
Acleris forsskaleana,1008,943
Acleris hastiana,1176,583
Acleris holmiana,501,441
Acleris logiana,728,309
Acleris notana,1443,715
Acleris rhombana,568,297
Acleris sparsana,694,386
Acleris variegana,1432,700
Acorus calamus,1591,643
Acrobasis advenella,1133,1019
Acrobasis consociella,728,557
Acrobasis repandana,686,693
Acrobasis suavella,609,530
Acrobasis tumidana,957,967
Acrocephalus arundinaceus,1338,524
Acrocephalus dumetorum,321,81
Acrocephalus palustris,2017,1277
Acrocephalus palustris x scirpaceus,569,380
Acrocephalus schoenobaenus,3020,1243
Acrocephalus scirpaceus,3189,1550
Acrocercops brongniardella,509,334
Acrolepia assectella,358,181
Acrolepia pygmaeana,302,197
Acroloxus lacustris,431,374
Acronicta aceris,1373,1172
Acronicta alni,749,651
Acronicta auricoma,928,279
Acronicta leporina,1202,1010
Acronicta megacephala,1593,1197
Acronicta menyanthidis,495,88
Acronicta psi,1414,1192
Acronicta rumicis,2403,1880
Acronicta tridens,1460,1343
Acrosathe annulata,517,153
Acrossus rufipes,420,330
Actinia equina,472,72
Actinotia polyodon,376,175
Actitis hypoleucos,4406,1561
Aculus craspedobius,830,517
Aculus tetanothrix,1222,752
Adaina microdactyla,1002,489
Adalia bipunctata,2676,1341
Adalia decempunctata,2596,1501
Adela croesella,320,285
Adela viridella,793,1231
Adelphocoris lineolatus,1331,1064
Adelphocoris quadripunctatus,813,866
Adelphocoris seticornis,700,332
Adoxa moschatellina,1324,313
Adoxophyes orana,500,388
Adscita statices,723,683
Aegialia arenaria,365,88
Aegithalos caudatus,5843,2025
Aegopinella nitidula,734,378
Aegopodium podagraria,4643,1872
Aelia acuminata,1865,999
Aelurillus v-insignitus,596,186
Aequipecten opercularis,1339,147
Aesculus hippocastanum,2596,1309
Aeshna affinis,653,374
Aeshna cyanea,2408,1871
Aeshna grandis,1907,1248
Aeshna isoceles,1614,1742
Aeshna juncea,666,105
Aeshna mixta,2023,2079
Aeshna subarctica,368,70
Aeshna viridis,1051,148
Aethalura punctulata,602,433
Aethes smeathmanniana,416,300
Aethusa cynapium,2105,928
Agalenatea redii,1166,409
Agallia consobrina,342,162
Agapanthia villosoviridescens,1265,1489
Agapeta hamana,1315,1005
Agapeta zoegana,392,185
Agaricus augustus,845,528
Agaricus bitorquis,351,232
Agelastica alni,2850,1781
Agelena labyrinthica,884,697
Aglais io,4986,2133
Aglais urticae,4324,2118
Aglaostigma aucupariae,371,413
Aglossa caprealis,540,331
Aglossa pinguinalis,1170,1017
Agonopterix alstromeriana,416,177
Agonopterix arenella,1366,687
Agonopterix heracliana,1345,746
Agonopterix ocellana,792,430
Agonopterix propinquella,387,265
Agonopterix yeatiana,809,393
Agonum marginatum,410,333
Agonum muelleri,409,333
Agonum sexpunctatum,561,357
Agrimonia eupatoria,2931,915
Agrimonia procera,985,291
Agriopis aurantiaria,642,871
Agriopis leucophaearia,1424,1146
Agriopis marginaria,1125,1232
Agriotes lineatus,356,381
Agriphila geniculea,461,489
Agriphila inquinatella,818,513
Agriphila latistria,334,412
Agriphila selasella,382,606
Agriphila straminella,1828,1669
Agriphila tristellus,818,1286
Agrius convolvuli,1108,1556
Agrobacterium tumefaciens,418,278
Agrochola helvola,318,170
Agrochola lota,790,670
Agrochola lunosa,574,1030
Agrochola lychnidis,381,211
Agrochola macilenta,769,537
Agrocybe pediades,317,257
Agrocybe rivulosa,310,212
Agromyza alnibetulae,411,271
Agromyza alnivora,484,326
Agrostemma githago,1823,1474
Agrostis canina,1558,679
Agrostis capillaris,2934,1634
Agrostis gigantea,854,573
Agrostis stolonifera,3085,1849
Agrostis vinealis,1184,415
Agrotis clavis,618,958
Agrotis exclamationis,1784,1610
Agrotis ipsilon,1879,1438
Agrotis puta,2690,1575
Agrotis ripae,301,96
Agrotis segetum,1995,1220
Agrotis vestigialis,1113,352
