# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 310         3.596       51.442      8.00        Vlissingen  
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
STN,YYYYMMDD,FG,TG,RH
  310,20100101,   56,    6,    0
  310,20100102,   58,   12,   47
  310,20100103,   35,  -15,   15
  310,20100104,   58,   -4,    2
  310,20100105,   58,    5,    0
  310,20100106,   49,  -21,   -1
  310,20100107,   45,  -25,    1
  310,20100108,   54,  -37,   -1
  310,20100109,  110,  -12,   -1
  310,20100110,   59,   -2,   -1
  310,20100111,   25,   -2,   -1
  310,20100112,   58,   -1,   -1
  310,20100113,   70,   -4,   20
  310,20100114,   50,   17,    0
  310,20100115,   41,   13,    0
  310,20100116,   79,   22,   68
  310,20100117,   63,   46,   18
  310,20100118,   50,   37,   -1
  310,20100119,   24,   41,    5
  310,20100120,   49,   25,   -1
  310,20100121,   23,   29,    0
  310,20100122,   59,   34,    3
  310,20100123,   44,   33,  100
  310,20100124,   18,   29,   10
  310,20100125,   38,    6,    0
  310,20100126,   53,  -35,    0
  310,20100127,   65,   -2,   37
  310,20100128,   61,   40,   15
  310,20100129,   71,   29,   79
  310,20100130,   69,   21,   11
  310,20100131,   67,   22,   25
  310,20100201,   67,   24,    0
  310,20100202,  105,   35,   98
  310,20100203,   44,   33,    2
  310,20100204,   68,   52,    4
  310,20100205,   56,   46,   26
  310,20100206,   37,   32,    0
  310,20100207,   30,   22,   11
  310,20100208,   60,   -7,    3
  310,20100209,   53,  -22,    0
  310,20100210,   75,  -12,    8
  310,20100211,   85,  -13,   -1
  310,20100212,   55,   -9,    0
  310,20100213,   35,   -9,   -1
  310,20100214,   27,   -5,   14
  310,20100215,   39,  -17,    4
  310,20100216,   85,    9,   -1
  310,20100217,   36,    5,    1
  310,20100218,   59,   28,    0
  310,20100219,   82,   28,    6
  310,20100220,   54,   17,    0
  310,20100221,   70,   23,    1
  310,20100222,   56,   44,   97
  310,20100223,   67,   28,   40
  310,20100224,   70,   56,   69
  310,20100225,   91,   67,   65
  310,20100226,  123,   62,   12
  310,20100227,   77,   59,    3
  310,20100228,   93,   56,  143
  310,20100301,   52,   40,    3
  310,20100302,   33,   37,    0
  310,20100303,   51,   32,    0
  310,20100304,   54,   27,    0
  310,20100305,   58,   34,   22
  310,20100306,   78,   21,   13
  310,20100307,   61,    0,    0
  310,20100308,   47,   10,    0
  310,20100309,   57,   11,    0
  310,20100310,   76,   17,    0
  310,20100311,   57,   23,   -1
  310,20100312,   47,   40,   -1
  310,20100313,   55,   50,    0
  310,20100314,   56,   56,    1
  310,20100315,   64,   58,    1
  310,20100316,   33,   65,    3
  310,20100317,   50,   71,    0
  310,20100318,   68,   90,    0
  310,20100319,   76,  106,   45
  310,20100320,   83,  106,  107
  310,20100321,   55,   70,    8
  310,20100322,   55,   79,   -1
  310,20100323,   41,   81,   -1
  310,20100324,   55,  103,    0
  310,20100325,   69,  109,    7
  310,20100326,   64,   91,   11
  310,20100327,   70,   82,    6
  310,20100328,   70,   81,   21
  310,20100329,   46,   93,   49
  310,20100330,   84,   86,   35
  310,20100331,  133,   59,   61
  310,20100401,  110,   60,    0
  310,20100402,   91,   73,   25
  310,20100403,   67,   77,   59
  310,20100404,   63,   73,   13
  310,20100405,   56,   77,   -1
  310,20100406,   64,  102,    0
  310,20100407,   36,  104,   25
  310,20100408,   50,   84,    5
  310,20100409,   36,   95,    0
  310,20100410,   51,   75,    0
  310,20100411,   65,   73,    0
  310,20100412,   77,   91,    0
  310,20100413,   76,   88,    0
  310,20100414,   53,   90,    0
  310,20100415,   63,   93,    0
  310,20100416,   59,   78,    0
  310,20100417,   30,   80,    0
  310,20100418,   36,   95,    0
  310,20100419,   35,   95,    0
  310,20100420,   47,   88,    0
  310,20100421,   35,   71,    0
  310,20100422,   31,   70,    0
  310,20100423,   39,   88,    0
  310,20100424,   33,  126,    0
  310,20100425,   51,  123,    0
  310,20100426,   63,  106,    0
  310,20100427,   23,  133,    0
  310,20100428,   41,  150,    0
  310,20100429,   29,  162,   34
  310,20100430,   82,  111,   29
  310,20100501,   51,  105,   15
  310,20100502,   63,   89,  124
  310,20100503,   88,   71,   45
  310,20100504,   77,   80,    0
  310,20100505,   58,   87,    0
  310,20100506,   72,   91,    0
  310,20100507,   52,   85,    3
  310,20100508,   24,   91,    3
  310,20100509,   50,   97,    3
  310,20100510,   58,   84,    0
  310,20100511,   59,   76,   28
  310,20100512,   55,   71,    7
  310,20100513,   32,   82,    1
  310,20100514,   28,   89,    0
  310,20100515,   34,  100,    0
  310,20100516,   64,  112,    0
  310,20100517,   48,  112,   14
  310,20100518,   33,  104,    0
  310,20100519,   33,  117,    0
  310,20100520,   26,  134,    0
  310,20100521,   44,  138,    0
  310,20100522,   47,  124,    0
  310,20100523,   28,  162,    0
  310,20100524,   46,  159,    0
  310,20100525,   60,  144,    0
  310,20100526,   50,  105,   19
  310,20100527,   22,  115,    0
  310,20100528,   46,  126,    0
  310,20100529,   71,  142,   31
  310,20100530,   85,  130,   15
  310,20100531,   60,  120,    1
  310,20100601,   26,  123,    0
  310,20100602,   49,  138,    0
  310,20100603,   55,  161,    0
  310,20100604,   35,  172,    0
  310,20100605,   24,  201,    0
  310,20100606,   51,  169,   63
  310,20100607,   53,  150,    0
  310,20100608,   39,  167,   23
  310,20100609,   34,  167,   65
  310,20100610,   33,  174,   48
  310,20100611,   53,  146,    1
  310,20100612,   44,  139,    0
  310,20100613,   21,  142,    0
  310,20100614,   63,  160,    0
  310,20100615,   86,  137,    0
  310,20100616,   77,  149,    0
  310,20100617,   74,  163,    0
  310,20100618,   61,  132,    0
  310,20100619,   72,  119,   33
  310,20100620,   60,  120,    2
  310,20100621,   45,  133,    3
  310,20100622,   24,  155,    0
  310,20100623,   28,  188,    0
  310,20100624,   29,  180,    0
  310,20100625,   27,  192,    0
  310,20100626,   35,  204,    0
  310,20100627,   29,  221,    0
  310,20100628,   30,  199,    0
  310,20100629,   46,  186,    1
  310,20100630,   42,  194,    0
  310,20100701,   33,  211,    0
  310,20100702,   48,  235,   66
  310,20100703,   30,  185,   14
  310,20100704,   54,  185,    0
  310,20100705,   50,  177,    0
  310,20100706,   36,  169,    0
  310,20100707,   32,  195,    0
  310,20100708,   33,  216,    0
  310,20100709,   41,  234,    0
  310,20100710,   30,  219,   13
  310,20100711,   38,  214,    0
  310,20100712,   70,  199,   63
  310,20100713,   34,  202,    4
  310,20100714,   63,  199,  157
  310,20100715,   90,  189,    4
  310,20100716,   75,  190,    0
  310,20100717,   85,  173,    6
  310,20100718,   35,  177,    0
  310,20100719,   23,  213,    0
  310,20100720,   31,  236,    0
  310,20100721,   53,  203,   -1
  310,20100722,   37,  187,    0
  310,20100723,   45,  178,    1
  310,20100724,   34,  179,    0
  310,20100725,   57,  185,    0
  310,20100726,   51,  179,    2
  310,20100727,   41,  188,   13
  310,20100728,   42,  189,    8
  310,20100729,   49,  175,    3
  310,20100730,   32,  190,    0
  310,20100731,   70,  188,    4
  310,20100801,   50,  182,    4
  310,20100802,   41,  178,   22
  310,20100803,   40,  184,    0
  310,20100804,   76,  170,   37
  310,20100805,   53,  171,    0
  310,20100806,   40,  183,    0
  310,20100807,   60,  181,   82
  310,20100808,   47,  178,    1
  310,20100809,   35,  185,    0
